text,full_text,reply_count,retweet_count,favorite_count,source,created_at,entities,quote_count,quoted_status,id
"@MedawarLana رياض سلامة مهندس الفساد وعراب الفاسدين والممول الأساسي للسياسات المالية المدمرة
#يسقط_حكم_المصرف","@MedawarLana رياض سلامة مهندس الفساد وعراب الفاسدين والممول الأساسي للسياسات المالية المدمرة
#يسقط_حكم_المصرف",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 23:10:44 +0000 2019,{},0,,1200190316164395008
"#شعب_السيّد

بالوقت يلي الإعلام وبعض الحاقدين عم يحاولوا يشوهوا صورة هالبيئة (هيهات طبعاً) أبناءها الناس الطيبين ال… https://t.co/YDIOyUBS5l","#شعب_السيّد

بالوقت يلي الإعلام وبعض الحاقدين عم يحاولوا يشوهوا صورة هالبيئة (هيهات طبعاً) أبناءها الناس الطيبين الصادقين شاعرين ببعضهم البعض وعم يحاولوا يتساعدوا بكافة الوسائل بظل الأزمة الإقتصادية وفرق الدولار عالليرة. 

#يسقط_حكم_المصرف https://t.co/LTcrDqpUsj",1,3,9,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 22:59:06 +0000 2019,{},0,,1200187389232242688
"عصحة السلامة... حرامي حرامي رياض سلامة حرامي
#يسقط_حكم_المصرف https://t.co/2Yc5xD2Kzi","عصحة السلامة... حرامي حرامي رياض سلامة حرامي
#يسقط_حكم_المصرف https://t.co/2Yc5xD2Kzi",0,0,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 22:18:41 +0000 2019,{'media': [{'url': 'https://t.co/2Yc5xD2Kzi'}]},0,,1200177216421842944
البوصلة صح يا شباب، من أمام فرنسا بنك خلال الندوة الحوارية مع @mzbeeb الأسير المحرر أنور ياسين #يسقط_حكم_المصرف https://t.co/tUvSlx6nQp,البوصلة صح يا شباب، من أمام فرنسا بنك خلال الندوة الحوارية مع @mzbeeb الأسير المحرر أنور ياسين #يسقط_حكم_المصرف https://t.co/tUvSlx6nQp,0,0,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 22:13:34 +0000 2019,{'media': [{'url': 'https://t.co/tUvSlx6nQp'}]},0,,1200175930636939265
"لازم نقاطع الدولار بالداخل
ولازم ما نقبل ندفع إلا باللبناني
نحن عم نساعد على أذية أنفسنا هيك
لازم نقاطع مافيا الصير… https://t.co/ftl7pSjUen","لازم نقاطع الدولار بالداخل
ولازم ما نقبل ندفع إلا باللبناني
نحن عم نساعد على أذية أنفسنا هيك
لازم نقاطع مافيا الصيرفة بينزل الدولار للأرض
#يسقط_حكم_المصرف
#توعية https://t.co/mf3OKZ0UAn",0,0,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 22:02:11 +0000 2019,{},0,,1200173066288062467
صباحا كان صرف الدولار بين ٢٣٠٠ و ٢٤٠٠ ، أما في نهاية اليوم سجل ١٦٥٠ . يعني ، إما عم تشتغلوا بالعالم و بمال العالم ،… https://t.co/iI7F0vQfzZ,"صباحا كان صرف الدولار بين ٢٣٠٠ و ٢٤٠٠ ، أما في نهاية اليوم سجل ١٦٥٠ . يعني ، إما عم تشتغلوا بالعالم و بمال العالم ، أو الظاهر ناطرين جهة بتقبض بالدولار لتجبروها تصرف بسعر واطي 
#سقط_القناع #يسقط_حكم_المصرف",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 21:51:00 +0000 2019,{},0,,1200170251591331848
"الله يستر الصرافين من غضب شي واحد انخرب بيته..
يعني ممكن ع جنون الإفلاس يقوصله شي صراف ولا ٢ ولا ٣ بغرض يربي فيهن ا… https://t.co/serauhXvjw","الله يستر الصرافين من غضب شي واحد انخرب بيته..
يعني ممكن ع جنون الإفلاس يقوصله شي صراف ولا ٢ ولا ٣ بغرض يربي فيهن الباقيين..وتطلع الفشه فيهن بما انه #رياض_سلامة متخبي..
عميلعبوا بأرزاق الناس ولا بعداد أعمارهن؟! 
#يسقط_حكم_المصرف",0,0,11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 21:38:08 +0000 2019,{},0,,1200167013248897026
"اذا حاصرونا اقتصاديًا، فدا #المقاومة، نحن أبناء شهر رمضان..
#الدولار #يسقط_حكم_المصرف","اذا حاصرونا اقتصاديًا، فدا #المقاومة، نحن أبناء شهر رمضان..
#الدولار #يسقط_حكم_المصرف",1,0,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 21:32:50 +0000 2019,{},0,,1200165680286511104
"سلامة يا جبان.. يا عميل الأمريكان .. إرحل عن مصرف لبنان .. ارحل ارحل يلا ارحل .. شعبي واعي منو اهبل
#يسقط_حكم_المصرف
#صوب_عالمصرف ❤️","سلامة يا جبان.. يا عميل الأمريكان .. إرحل عن مصرف لبنان .. ارحل ارحل يلا ارحل .. شعبي واعي منو اهبل
#يسقط_حكم_المصرف
#صوب_عالمصرف ❤️",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 21:32:18 +0000 2019,{},0,,1200165546521767938
"كلهم ليرة الا انتِ #دولار 
#يسقط_حكم_المصرف","كلهم ليرة الا انتِ #دولار 
#يسقط_حكم_المصرف",0,0,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 21:23:55 +0000 2019,{},0,,1200163434563874825
